"duration","credit","rate","residence","age","nocredit","liable","TNM_check_status","TNM_history","TNM_purpose","TNM_bonds","TNM_jobex","TNM_s_status","TNM_guarantor","TNM_property","TNM_install","TNM_house","TNM_job","TNM_ph","TNM_nri","R01_credibility"
27,4526,4,2,32,2,2,4,5,4,4,2,3,1,1,2,2,2,2,1,0
45,11816,2,4,29,2,1,1,1,10,1,5,3,1,3,3,1,3,1,1,1
24,11938,2,3,39,2,2,2,5,3,1,3,3,2,3,3,2,4,2,1,1
24,11938,2,3,39,2,2,2,5,3,1,3,3,2,3,3,2,4,2,1,1
24,11938,2,3,39,2,2,2,5,3,1,3,3,2,3,3,2,4,2,1,1
4,1494,1,2,29,1,2,3,3,1,5,2,3,1,1,3,2,2,1,2,0
24,1371,4,4,25,1,1,1,3,1,5,3,2,1,1,3,1,3,1,1,1
9,1980,2,2,19,2,1,4,3,4,1,2,2,2,3,3,1,3,1,1,1
9,1980,2,2,19,2,1,4,3,4,1,2,2,2,3,3,1,3,1,1,1
18,1582,4,4,46,2,1,4,5,5,4,5,3,1,3,3,2,3,1,1,0
12,1123,4,4,29,1,1,4,3,4,3,3,2,1,3,3,1,2,1,1,1
12,1123,4,4,29,1,1,4,3,4,3,3,2,1,3,3,1,2,1,1,1
12,1123,4,4,29,1,1,4,3,4,3,3,2,1,3,3,1,2,1,1,1
12,1123,4,4,29,1,1,4,3,4,3,3,2,1,3,3,1,2,1,1,1
12,1123,4,4,29,1,1,4,3,4,3,3,2,1,3,3,1,2,1,1,1
12,1123,4,4,29,1,1,4,3,4,3,3,2,1,3,3,1,2,1,1,1
12,804,4,4,38,1,1,4,3,5,1,5,3,1,3,3,2,3,1,1,0
60,15653,2,4,21,2,1,4,4,5,1,4,3,1,3,3,2,3,2,1,0
10,7308,2,4,70,1,1,2,3,1,1,1,3,1,4,1,3,4,2,1,0
18,1049,4,4,21,1,1,1,5,4,1,2,2,1,2,3,1,3,1,1,0
21,1835,3,2,25,2,1,1,3,5,1,3,2,1,1,3,2,3,2,1,1
10,894,4,3,40,1,1,4,3,9,5,4,2,1,2,3,2,3,2,1,0
12,1344,4,2,43,2,2,1,4,1,1,3,3,1,1,3,2,2,1,1,0
42,3965,4,3,34,1,1,1,3,5,1,2,3,1,3,3,2,3,1,1,1
42,3965,4,3,34,1,1,1,3,5,1,2,3,1,3,3,2,3,1,1,1
48,3931,4,4,46,1,2,1,3,1,1,4,3,1,4,3,3,3,1,1,1
21,2767,4,2,61,2,1,2,3,10,2,5,1,1,3,1,1,2,1,1,1
21,2767,4,2,61,2,1,2,3,10,2,5,1,1,3,1,1,2,1,1,1
21,2767,4,2,61,2,1,2,3,10,2,5,1,1,3,1,1,2,1,1,1
8,1237,3,4,24,1,1,2,3,4,1,3,2,1,1,3,2,3,1,1,1
8,1237,3,4,24,1,1,2,3,4,1,3,2,1,1,3,2,3,1,1,1
8,1237,3,4,24,1,1,2,3,4,1,3,2,1,1,3,2,3,1,1,1
8,1237,3,4,24,1,1,2,3,4,1,3,2,1,1,3,2,3,1,1,1
8,1237,3,4,24,1,1,2,3,4,1,3,2,1,1,3,2,3,1,1,1
48,2751,4,3,38,2,2,4,5,2,5,5,3,1,3,3,2,3,2,1,0
30,4530,4,4,26,1,1,4,5,5,1,4,2,1,3,3,1,4,2,1,0
24,3345,4,2,39,1,1,1,3,4,1,5,3,1,2,3,1,4,2,1,1
24,3345,4,2,39,1,1,1,3,4,1,5,3,1,2,3,1,4,2,1,1
24,3345,4,2,39,1,1,1,3,4,1,5,3,1,2,3,1,4,2,1,1
6,1238,4,4,36,1,2,4,3,9,5,1,3,1,2,3,2,4,2,1,0
24,1925,2,2,26,1,1,3,3,4,1,3,3,1,1,3,2,3,1,1,0
60,7297,4,4,36,1,1,1,3,10,1,5,3,2,4,3,1,3,1,1,1
24,3123,4,1,27,1,1,1,3,1,1,2,2,1,2,3,2,3,1,1,1
24,3123,4,1,27,1,1,1,3,1,1,2,2,1,2,3,2,3,1,1,1
24,3123,4,1,27,1,1,1,3,1,1,2,2,1,2,3,2,3,1,1,1
48,6416,4,3,59,1,1,2,2,10,1,5,2,1,4,3,1,3,1,1,1
48,6416,4,3,59,1,1,2,2,10,1,5,2,1,4,3,1,3,1,1,1
48,6416,4,3,59,1,1,2,2,10,1,5,2,1,4,3,1,3,1,1,1
48,6416,4,3,59,1,1,2,2,10,1,5,2,1,4,3,1,3,1,1,1
48,6416,4,3,59,1,1,2,2,10,1,5,2,1,4,3,1,3,1,1,1
30,7596,1,4,63,2,1,4,5,2,5,5,3,1,3,3,2,3,1,1,0
24,6579,4,2,29,1,1,1,3,2,1,1,3,1,4,3,3,4,2,1,0
12,2171,2,2,29,1,1,4,3,5,1,2,2,1,3,1,2,3,1,1,0
30,3622,4,4,57,2,1,1,3,4,4,5,2,1,2,3,1,3,2,1,0
36,2384,4,1,33,1,1,2,3,7,1,2,3,1,4,3,1,2,1,1,1
36,2384,4,1,33,1,1,2,3,7,1,2,3,1,4,3,1,2,1,1,1
18,3509,4,1,25,1,1,1,3,5,1,4,2,3,1,3,2,3,1,1,0
8,3398,1,4,39,2,1,1,5,1,1,4,3,1,1,3,2,2,1,2,0
24,1381,4,2,35,1,1,1,3,1,5,3,2,1,2,3,2,3,1,1,1
24,1381,4,2,35,1,1,1,3,1,5,3,2,1,2,3,2,3,1,1,1
24,1381,4,2,35,1,1,1,3,1,5,3,2,1,2,3,2,3,1,1,1
24,1381,4,2,35,1,1,1,3,1,5,3,2,1,2,3,2,3,1,1,1
18,1028,4,3,36,2,1,4,5,1,1,3,2,1,1,3,2,3,1,1,0
9,1478,4,2,22,1,1,4,3,5,1,4,3,1,3,3,2,3,1,1,1
9,1236,1,4,23,1,1,4,3,6,1,2,2,1,1,3,1,3,2,1,0
12,2149,4,1,29,1,1,1,2,5,1,3,1,1,4,3,3,3,1,1,1
12,2149,4,1,29,1,1,1,2,5,1,3,1,1,4,3,3,3,1,1,1
12,2149,4,1,29,1,1,1,2,5,1,3,1,1,4,3,3,3,1,1,1
12,2149,4,1,29,1,1,1,2,5,1,3,1,1,4,3,3,3,1,1,1
12,2149,4,1,29,1,1,1,2,5,1,3,1,1,4,3,3,3,1,1,1
21,3652,2,3,27,2,1,2,5,10,1,4,3,1,2,3,2,3,1,1,0
24,1469,4,4,41,1,1,4,3,1,2,5,4,1,1,3,1,2,1,1,0
18,3114,1,4,26,1,1,1,1,4,1,2,2,1,2,3,1,3,1,1,1
24,2333,4,2,29,1,1,2,4,4,5,2,3,1,2,1,2,2,1,1,0
12,1804,3,4,44,1,1,2,5,2,2,2,3,1,2,3,2,3,1,1,0
18,976,1,2,23,1,1,1,3,1,1,2,2,1,3,3,2,2,1,1,1
24,7758,2,4,29,1,1,2,5,2,4,5,2,1,4,3,1,3,1,1,0
18,2124,4,4,24,2,1,1,5,4,1,3,2,1,1,3,1,3,1,1,1
18,2124,4,4,24,2,1,1,5,4,1,3,2,1,1,3,1,3,1,1,1
18,2124,4,4,24,2,1,1,5,4,1,3,2,1,1,3,1,3,1,1,1
18,2124,4,4,24,2,1,1,5,4,1,3,2,1,1,3,1,3,1,1,1
15,1300,4,4,45,1,2,4,3,2,5,5,3,1,4,1,3,3,1,1,0
36,3342,4,2,51,1,1,4,5,5,5,5,3,1,3,3,2,3,2,1,0
36,7432,2,2,54,1,1,2,4,1,1,3,2,1,2,3,1,3,1,1,0
72,5595,2,2,24,1,1,2,3,5,2,3,4,1,3,3,2,3,1,1,1
72,5595,2,2,24,1,1,2,3,5,2,3,4,1,3,3,2,3,1,1,1
72,5595,2,2,24,1,1,2,3,5,2,3,4,1,3,3,2,3,1,1,1
72,5595,2,2,24,1,1,2,3,5,2,3,4,1,3,3,2,3,1,1,1
24,1967,4,4,20,1,1,2,3,5,1,5,2,1,3,3,2,3,2,1,0
24,1597,4,4,54,2,2,4,5,8,1,5,3,1,4,3,3,3,1,1,0
12,3565,2,1,37,2,2,4,5,8,5,2,3,1,2,3,2,2,1,1,0
60,13756,2,4,63,1,1,4,5,1,5,5,3,1,4,1,3,4,2,1,0
12,6078,2,2,32,1,1,2,3,1,1,4,3,1,3,3,2,3,1,1,0
36,10974,4,2,26,2,1,4,3,4,1,1,2,1,3,3,2,4,2,1,1
36,10974,4,2,26,2,1,4,3,4,1,1,2,1,3,3,2,4,2,1,1
36,10974,4,2,26,2,1,4,3,4,1,1,2,1,3,3,2,4,2,1,1
36,10974,4,2,26,2,1,4,3,4,1,1,2,1,3,3,2,4,2,1,1
12,3617,1,4,28,3,1,2,5,4,1,5,3,1,3,3,1,3,2,1,0
24,1585,4,3,40,2,1,4,5,4,1,4,3,1,2,3,2,3,1,1,0
12,1412,4,2,29,2,1,4,5,10,1,3,2,3,1,3,2,4,2,1,0
18,2278,3,3,28,2,1,2,1,1,2,2,2,1,3,3,2,3,1,1,1
18,2278,3,3,28,2,1,2,1,1,2,2,2,1,3,3,2,3,1,1,1
18,2278,3,3,28,2,1,2,1,1,2,2,2,1,3,3,2,3,1,1,1
18,2278,3,3,28,2,1,2,1,1,2,2,2,1,3,3,2,3,1,1,1
18,1887,4,4,28,2,1,2,5,10,5,3,4,1,1,1,2,3,1,1,0
18,4165,2,2,36,2,2,4,1,10,1,3,3,1,3,2,2,3,1,1,1
18,4165,2,2,36,2,2,4,1,10,1,3,3,1,3,2,2,3,1,1,1
48,5096,2,3,30,1,1,2,5,4,1,3,2,1,3,3,2,4,2,1,1
48,5096,2,3,30,1,1,2,5,4,1,3,2,1,3,3,2,4,2,1,1
6,1538,1,2,56,1,1,4,3,8,1,2,2,1,4,3,2,3,1,1,0
18,8471,1,2,23,2,1,1,4,8,5,3,2,1,3,3,1,3,2,1,0
6,1204,4,1,35,1,1,4,1,1,2,3,3,1,4,1,1,3,1,2,0
42,7166,2,4,29,1,1,4,3,5,5,4,4,1,2,3,1,3,2,1,0
30,4811,2,4,24,1,1,4,3,2,5,4,2,1,2,2,1,2,1,1,0
6,1740,2,2,30,2,1,4,5,5,1,5,4,1,1,3,1,3,1,1,0
30,4272,2,2,26,2,1,4,4,10,2,3,3,1,2,3,2,2,1,1,0
12,1274,3,1,37,1,1,1,3,1,1,2,2,1,1,3,2,2,1,1,1
18,3104,3,1,31,1,1,1,1,10,1,4,3,1,2,1,2,3,2,1,0
12,7472,1,2,24,1,1,2,3,1,5,1,2,1,1,3,1,1,1,1,0
27,5190,4,4,48,4,2,4,3,7,5,5,3,1,2,3,2,3,2,1,0
12,1410,2,2,31,1,1,2,1,9,1,3,3,1,1,3,2,2,2,1,0
24,2375,4,2,44,2,2,4,4,10,3,3,3,1,3,3,2,3,2,1,0
12,1402,3,4,37,1,1,4,5,4,3,4,2,1,3,3,1,3,2,1,0
36,2394,4,4,25,1,1,4,3,5,5,3,2,1,3,3,2,3,1,1,0
18,3229,2,4,38,1,1,4,5,2,5,1,3,1,4,3,2,4,2,1,0
24,2439,4,4,35,1,1,1,3,5,1,2,2,1,1,3,2,3,2,1,1
24,2439,4,4,35,1,1,1,3,5,1,2,2,1,1,3,2,3,2,1,1
12,3016,3,1,24,1,1,3,3,5,1,3,4,1,3,3,2,3,1,1,0
60,14027,4,2,27,1,1,2,3,1,1,4,3,1,4,3,2,4,2,1,1
21,3599,1,4,26,1,1,1,3,4,1,4,2,1,3,3,1,2,1,1,0
18,1445,4,4,49,1,1,3,2,5,5,4,3,1,3,1,2,2,1,1,0
6,2116,2,2,41,1,1,3,3,4,1,3,3,1,1,3,2,3,2,1,0
30,1908,4,4,66,1,1,3,4,10,1,5,3,1,1,3,2,4,2,1,1
24,1965,4,4,42,2,1,2,4,1,5,3,2,1,3,3,1,3,2,1,0
48,10127,2,2,44,1,1,4,5,1,3,3,3,1,4,1,3,3,1,1,1
48,10127,2,2,44,1,1,4,5,1,3,3,3,1,4,1,3,3,1,1,1
18,2864,2,1,34,1,2,3,3,4,1,3,3,1,1,3,2,2,1,1,1
18,2864,2,1,34,1,2,3,3,4,1,3,3,1,1,3,2,2,1,1,1
18,2404,2,2,26,2,1,4,5,5,1,3,2,1,3,3,2,3,1,1,0
15,1478,4,3,33,2,1,4,4,5,1,3,4,1,1,1,2,3,1,1,0
12,763,4,1,26,1,1,4,3,4,1,3,2,1,1,3,2,3,2,1,0
48,7119,3,4,53,2,2,1,1,4,1,3,3,1,4,3,3,3,1,1,1
48,7119,3,4,53,2,2,1,1,4,1,3,3,1,4,3,3,3,1,1,1
48,7119,3,4,53,2,2,1,1,4,1,3,3,1,4,3,3,3,1,1,1
30,1715,4,1,26,1,1,2,3,5,5,3,2,1,3,3,2,3,1,1,0
24,6568,2,2,21,1,1,1,3,10,1,3,4,1,3,2,2,2,1,1,0
27,2442,4,4,43,4,2,1,5,10,1,5,3,1,3,2,2,4,2,1,0
9,2118,2,2,37,1,2,2,3,5,1,3,3,1,1,3,2,2,1,1,0
18,3190,2,2,24,1,1,1,3,5,1,3,2,1,1,3,2,3,1,1,1
18,3190,2,2,24,1,1,1,3,5,1,3,2,1,1,3,2,3,1,1,1
48,14421,2,2,25,1,1,2,1,10,1,3,3,1,3,3,2,3,2,1,1
48,14421,2,2,25,1,1,2,1,10,1,3,3,1,3,3,2,3,2,1,1
48,14421,2,2,25,1,1,2,1,10,1,3,3,1,3,3,2,3,2,1,1
48,14421,2,2,25,1,1,2,1,10,1,3,3,1,3,3,2,3,2,1,1
10,1225,2,2,37,1,1,3,3,6,1,3,3,1,3,3,2,3,2,1,0
36,3079,4,4,36,1,1,4,3,1,5,3,3,1,1,3,2,3,1,1,0
13,882,4,4,23,2,1,2,5,5,1,2,3,3,1,3,2,3,1,1,0
9,1337,4,2,34,2,1,3,1,5,1,2,3,1,3,3,2,4,2,1,1
18,3213,1,3,25,1,1,2,3,5,3,2,4,1,1,3,1,3,1,1,0
36,8086,2,4,42,4,1,2,4,1,2,5,3,1,3,3,2,4,2,1,1
36,8086,2,4,42,4,1,2,4,1,2,5,3,1,3,3,2,4,2,1,1
48,7629,4,2,46,2,2,4,5,10,5,5,1,1,3,1,2,4,1,1,0
30,2406,4,4,23,1,1,1,3,4,1,4,2,1,1,3,1,3,1,1,1
30,2406,4,4,23,1,1,1,3,4,1,4,2,1,1,3,1,3,1,1,1
30,11998,1,1,34,1,1,1,3,7,1,2,1,1,4,3,2,2,2,1,1
30,11998,1,1,34,1,1,1,3,7,1,2,1,1,4,3,2,2,2,1,1
15,3812,1,4,23,1,1,4,3,2,2,2,2,1,3,3,2,3,2,1,0
24,3617,4,4,20,2,1,3,5,4,5,5,3,2,4,3,1,3,1,1,0
33,7253,3,2,35,2,1,4,5,2,1,4,3,1,3,3,2,4,2,1,0
24,3235,3,2,26,1,1,4,3,5,3,5,1,1,3,3,2,4,2,1,0
27,5965,1,2,30,2,1,2,4,2,1,5,3,1,3,3,2,4,2,1,0
48,6758,3,2,31,1,1,1,3,5,1,3,2,1,3,3,2,3,2,1,1
48,6758,3,2,31,1,1,1,3,5,1,3,2,1,3,3,2,3,2,1,1
48,6758,3,2,31,1,1,1,3,5,1,3,2,1,3,3,2,3,2,1,1
48,6758,3,2,31,1,1,1,3,5,1,3,2,1,3,3,2,3,2,1,1
36,3446,4,2,42,1,2,1,3,4,1,5,3,1,3,3,2,3,1,1,1
24,1333,4,2,43,2,2,1,4,1,1,1,3,1,1,3,3,3,1,1,1
24,1333,4,2,43,2,2,1,4,1,1,1,3,1,1,3,3,3,1,1,1
24,1333,4,2,43,2,2,1,4,1,1,1,3,1,1,3,3,3,1,1,1
24,1333,4,2,43,2,2,1,4,1,1,1,3,1,1,3,3,3,1,1,1
24,1333,4,2,43,2,2,1,4,1,1,1,3,1,1,3,3,3,1,1,1
6,3676,1,3,37,3,2,1,5,1,1,3,3,1,1,3,1,3,1,1,0
18,6361,2,1,41,1,1,2,5,4,1,5,3,1,4,3,2,3,2,1,0
36,5800,3,4,34,2,1,2,5,2,1,3,3,1,3,3,2,3,2,1,0
24,2032,4,4,60,2,1,4,4,1,1,5,3,1,4,3,3,3,2,1,0
15,1514,4,2,22,1,1,2,3,7,2,3,3,3,1,3,2,3,1,1,0
21,5248,1,3,26,1,1,4,3,2,5,3,3,1,3,3,2,3,1,1,0
18,1245,4,2,33,1,1,2,5,5,1,3,4,1,3,3,2,3,1,1,1
24,2718,3,4,20,1,1,2,3,1,1,3,2,1,2,3,1,2,2,1,1
48,6143,4,4,58,2,1,1,5,2,1,5,2,1,4,2,3,2,1,1,1
10,781,4,4,63,2,1,3,5,1,1,5,3,1,4,3,3,3,2,1,0
6,3384,1,4,44,1,1,1,5,4,1,3,1,1,1,3,1,4,2,1,1
6,3384,1,4,44,1,1,1,5,4,1,3,1,1,1,3,1,4,2,1,1
12,797,4,3,33,1,2,4,5,5,5,5,2,1,2,1,2,2,1,1,1
12,797,4,3,33,1,2,4,5,5,5,5,2,1,2,1,2,2,1,1,1
30,2503,4,2,41,2,1,2,4,10,2,5,3,1,2,2,2,3,1,1,0
12,1858,4,1,22,1,1,1,3,4,1,2,2,1,3,3,1,3,1,1,0
15,5324,1,4,35,1,1,4,3,1,3,5,2,1,4,3,3,3,1,1,0
24,3488,3,4,23,1,1,4,3,2,2,4,2,1,3,3,2,3,1,1,0
12,1372,2,3,36,1,1,1,3,1,1,4,1,1,3,3,2,3,1,1,1
12,1372,2,3,36,1,1,1,3,1,1,4,1,1,3,3,2,3,1,1,1
12,1372,2,3,36,1,1,1,3,1,1,4,1,1,3,3,2,3,1,1,1
45,1845,4,4,23,1,1,1,3,5,1,3,3,1,4,3,3,3,2,1,1
13,1797,3,1,28,2,1,1,5,10,1,2,3,1,2,1,2,2,1,1,0
21,1572,4,4,36,1,1,4,3,10,4,5,2,1,1,1,2,2,1,1,0
12,2930,2,1,27,1,1,2,3,5,1,4,2,1,1,3,2,3,1,1,0
48,7685,2,4,37,1,1,1,2,10,1,4,2,3,3,3,1,3,1,1,1
48,7685,2,4,37,1,1,1,2,10,1,4,2,3,3,3,1,3,1,1,1
48,7685,2,4,37,1,1,1,2,10,1,4,2,3,3,3,1,3,1,1,1
48,7685,2,4,37,1,1,1,2,10,1,4,2,3,3,3,1,3,1,1,1
4,1503,2,1,42,2,2,4,5,5,1,4,3,1,1,3,2,2,1,1,0
48,7476,4,1,50,1,1,1,3,8,1,4,3,1,4,3,3,4,2,1,0
48,10297,4,4,39,3,2,1,3,2,1,4,3,1,4,2,3,3,2,1,1
48,10297,4,4,39,3,2,1,3,2,1,4,3,1,4,2,3,3,2,1,1
48,10297,4,4,39,3,2,1,3,2,1,4,3,1,4,2,3,3,2,1,1
6,1209,4,4,47,1,1,2,4,1,1,1,3,1,2,3,2,4,2,1,1
6,1209,4,4,47,1,1,2,4,1,1,1,3,1,2,3,2,4,2,1,1
6,1743,1,2,34,2,1,4,4,10,2,3,3,1,1,3,2,2,1,1,0
24,4870,3,4,53,2,2,1,4,1,1,3,3,1,4,3,3,3,1,1,1
24,4870,3,4,53,2,2,1,4,1,1,3,3,1,4,3,3,3,1,1,1
12,1108,4,3,28,2,1,1,1,7,1,4,3,1,1,3,2,3,1,1,1
45,3031,4,4,21,1,1,2,3,5,2,3,3,3,2,3,1,3,1,1,1
45,3031,4,4,21,1,1,2,3,5,2,3,3,3,2,3,1,3,1,1,1
48,6999,1,1,34,2,1,1,3,5,1,4,4,3,1,3,2,3,2,1,1
15,3186,2,3,20,1,1,4,3,1,4,4,2,1,3,3,1,3,1,1,0
36,6304,4,4,36,2,1,4,5,10,5,5,3,1,1,3,2,3,1,1,0
18,1984,4,4,47,2,1,4,3,4,1,3,3,1,4,1,3,3,1,1,0
11,1393,4,4,35,2,1,4,5,1,1,2,2,1,3,3,2,4,1,1,0
24,6314,4,2,27,2,1,4,5,3,1,1,3,2,4,1,2,4,2,1,0
12,1860,4,2,34,2,1,2,5,2,1,1,3,1,3,3,2,4,2,1,0
24,3777,4,4,50,1,1,4,5,4,4,3,3,1,1,3,2,3,2,1,0
6,428,2,1,49,1,1,1,3,4,1,5,2,1,2,1,2,3,2,1,0
9,3577,1,2,26,1,2,4,3,1,2,3,3,3,1,3,1,3,1,2,0
24,6872,2,1,55,1,1,1,2,4,1,2,1,1,2,1,2,3,2,1,1
24,6872,2,1,55,1,1,1,2,4,1,2,1,1,2,1,2,3,2,1,1
24,6872,2,1,55,1,1,1,2,4,1,2,1,1,2,1,2,3,2,1,1
24,3092,3,2,22,1,1,2,3,5,2,2,4,1,3,3,1,3,2,1,1
